,LocationID,PUcount,DOcount,TOTALcount,zone,borough,X,Y
0,1,0.0,70.0,70.0,Newark Airport,EWR,-74.1767857452143,40.689515648043106
1,2,0.0,0.0,0.0,Jamaica Bay,Queens,-73.8261257703202,40.6257242377511
2,3,0.0,1.0,1.0,Allerton/Pelham Gardens,Bronx,-73.8494789238597,40.8658875419774
3,4,17.0,152.0,169.0,Alphabet City,Manhattan,-73.97702292193391,40.7241521436714
4,5,0.0,0.0,0.0,Arden Heights,Staten Island,-74.1899296712375,40.550340123832
5,6,0.0,0.0,0.0,Arrochar/Fort Wadsworth,Staten Island,-74.06777446074209,40.5990621740821
6,7,10.0,139.0,149.0,Astoria,Queens,-73.9214905669465,40.761084729151
7,8,0.0,0.0,0.0,Astoria Park,Queens,-73.92320240928359,40.77860696177039
8,9,0.0,1.0,1.0,Auburndale,Queens,-73.78802024874071,40.754410927111394
9,10,1.0,11.0,12.0,Baisley Park,Queens,-73.7916654578906,40.6781247031195
10,11,0.0,2.0,2.0,Bath Beach,Brooklyn,-74.01061563053621,40.60397770880979
11,12,2.0,21.0,23.0,Battery Park,Manhattan,-74.0154903292143,40.7024884135418
12,13,56.0,309.0,365.0,Battery Park City,Manhattan,-74.0161196692833,40.7116120831165
13,14,0.0,22.0,22.0,Bay Ridge,Brooklyn,-74.03044705082971,40.62358427930889
14,15,0.0,4.0,4.0,Bay Terrace/Fort Totten,Queens,-73.78797108474359,40.7852195006457
15,16,0.0,6.0,6.0,Bayside,Queens,-73.7716678221165,40.7612088345005
16,17,2.0,51.0,53.0,Bedford,Brooklyn,-73.9491813010382,40.6919940962748
17,18,0.0,9.0,9.0,Bedford Park,Bronx,-73.8869219948557,40.8687628819908
18,19,0.0,0.0,0.0,Bellerose,Queens,-73.7278693961567,40.7364724391387
19,20,0.0,1.0,1.0,Belmont,Bronx,-73.88603484053459,40.8577731142544
20,21,0.0,7.0,7.0,Bensonhurst East,Brooklyn,-73.9813007259727,40.602048984009706
21,22,1.0,5.0,6.0,Bensonhurst West,Brooklyn,-73.9942970150052,40.6096273400171
22,23,0.0,0.0,0.0,Bloomfield/Emerson Hill,Staten Island,-74.1594432875648,40.607504219542
23,24,19.0,108.0,127.0,Bloomingdale,Manhattan,-73.9655685290937,40.8020327729942
24,25,9.0,45.0,54.0,Boerum Hill,Brooklyn,-73.9864589876713,40.685614589464
25,26,0.0,8.0,8.0,Borough Park,Brooklyn,-73.9895604065528,40.6286122405859
26,27,0.0,0.0,0.0,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.90978119781441,40.5589500919216
27,28,1.0,8.0,9.0,Briarwood/Jamaica Hills,Queens,-73.80732908405,40.710852781755
28,29,0.0,3.0,3.0,Brighton Beach,Brooklyn,-73.9605798481175,40.582195546571
29,30,0.0,0.0,0.0,Broad Channel,Queens,-73.8200975464803,40.604872183789894
30,31,0.0,1.0,1.0,Bronx Park,Bronx,-73.875722045295,40.859920521140005
